"Player","Gameweek 01","Gameweek 02","Gameweek 03","Gameweek 04","Gameweek 05","Gameweek 06","Gameweek 07","Gameweek 08","Gameweek 09","Gameweek 10","Gameweek 11","Gameweek 12","Gameweek 13","Gameweek 14","Gameweek 15","Gameweek 16","Gameweek 17","Gameweek 18","Gameweek 19","Gameweek 20","Gameweek 21","Gameweek 22","Gameweek 23","Gameweek 24","Gameweek 25","Gameweek 26","Gameweek 27","Gameweek 28","Gameweek 29"
"Fryers","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Romero","8","6","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Senderos","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baba Rahman","N/A","N/A","0","0","0","0","0","0","6","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","1","2"
"Lescott","1","0","0","8","1","2","1","1","1","1","1","0","0","0","8","1","2","1","0","1","15","2","7","1","15","-1","1","1","0"
"Coquelin","1","1","3","3","3","1","0","2","3","1","3","2","1","0","0","0","0","0","0","0","0","0","0","0","1","1","2","3","-2"
"Williamson","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Konchesky","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sánchez","1","1","3","2","2","2","1","0","0","0","2","3","1","1","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0"
"Hernández","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"O'Neil","0","1","1","0","0","1","1","0","1","0","1","2","1","1","0","2","1","0","1","3","-2","0","0","0","2","2","0","1","1"
"Alfei","N/A","N/A","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Crouch","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","1","0"
"Mané","2","2","1","11","1","9","7","11","2","4","3","2","1","5","2","2","2","6","2","1","3","6","3","3","1","0","1","2","3"
"Watmore","N/A","5","1","0","1","0","0","0","0","0","1","2","1","6","2","2","2","1","2","1","1","1","1","0","1","0","0","0","0"
"Fazio","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Humphreys-Grant","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"McClean","1","1","0","3","1","3","2","1","3","5","2","2","5","2","9","2","-2","0","0","0","6","2","3","2","2","0","1","1","1"
"Guzan","6","2","2","1","2","3","4","3","1","1","2","6","1","2","2","1","3","3","1","2","0","0","0","0","0","0","0","2","1"
"Yoshida","1","1","6","6","1","1","0","1","0","0","1","9","0","1","0","2","0","0","1","0","1","0","0","0","15","1","0","1","1"
"Sessegnon","0","0","0","0","0","0","0","0","3","3","5","2","2","1","1","0","1","1","3","10","1","2","3","3","0","3","5","1","3"
"Cathcart","1","8","6","1","6","2","1","2","1","6","6","1","1","1","6","6","6","0","1","1","1","2","10","6","2","2","5","0","0"
"Van Ginkel","2","1","2","2","2","2","1","1","1","0","1","0","0","0","1","1","2","1","1","0","1","1","0","0","0","0","0","0","0"
"Cleverley","2","3","2","1","0","0","0","0","0","0","0","0","0","1","2","3","2","11","4","2","0","0","2","7","12","1","0","0","N/A"
"Sidwell","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hennessey","0","0","0","0","0","0","5","6","1","2","6","3","2","2","3","8","3","7","7","1","2","0","3","1","2","1","1","2","0"
"Montero","2","6","2","0","1","3","1","5","2","2","2","3","1","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"Szczesny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Poyet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Burke","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fuchs","1","1","0","0","0","0","0","2","1","9","0","2","6","5","6","2","1","2","8","6","12","2","8","7","6","0","9","1","5"
"Benteke","2","9","2","2","6","1","0","0","0","8","9","2","4","2","2","2","1","5","8","2","4","1","1","1","0","1","1","8","N/A"
"Ledley","0","0","0","1","0","0","3","1","1","0","0","1","0","0","0","0","2","3","0","1","1","2","2","0","0","0","2","1","9"
"Hart","6","7","6","6","6","1","0","3","2","6","2","6","2","0","1","4","2","2","7","3","6","7","1","9","2","1","2","6","6"
"Galloway","2","6","1","0","4","6","1","2","1","1","0","2","6","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"Tomlin","0","0","0","2","0","2","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carroll","0","0","0","0","1","0","4","0","1","6","2","2","2","1","2","2","0","0","7","6","1","0","0","0","1","1","1","1","1"
"Terry","0","1","-3","0","1","0","0","1","7","1","1","2","7","0","0","0","2","1","6","6","1","4","8","8","2","1","0","0","0"
"Diamanti","N/A","N/A","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Clyne","7","6","6","0","0","2","1","2","6","2","2","0","1","6","1","1","1","6","6","1","0","2","0","1","1","13","6","0","N/A"
"Falcao","1","1","1","6","1","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Whittaker","1","8","1","-3","0","2","1","1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armstrong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fabbrini","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Markovic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"Samaras","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chamakh","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","0","0","0","0"
"Yacob","0","3","2","1","3","2","2","1","2","3","2","2","2","1","0","0","0","1","6","2","0","2","3","2","2","3","2","1","3"
"Rooney","5","2","2","2","0","2","8","1","6","2","2","2","0","2","0","0","5","1","1","8","16","9","2","10","5","1","0","0","0"
"Welbeck","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","10","1","2"
"Bacuna","5","2","0","1","1","1","0","0","0","1","1","1","0","0","2","1","1","1","2","1","8","1","6","1","6","-1","7","0","1"
"Chambers","0","0","7","0","0","-1","0","0","0","0","1","0","0","0","4","1","1","1","5","1","0","1","0","0","0","1","0","0","0"
"Simpson","0","0","0","0","0","0","0","6","1","7","1","2","10","2","6","2","1","2","6","6","7","2","6","6","1","-3","0","1","7"
"Alli","0","0","6","0","3","3","1","9","3","2","10","2","5","0","9","2","12","6","1","8","2","2","13","10","4","2","2","1","5"
"Zouma","1","0","1","1","1","15","1","0","6","6","1","2","6","6","2","1","2","0","6","6","1","1","8","6","1","0","0","0","0"
"Wijnaldum","7","2","3","1","2","2","8","5","25","2","3","6","2","2","14","2","2","2","2","2","8","13","2","2","3","1","2","2","0"
"Kanté","1","1","1","5","1","1","2","7","2","3","2","9","3","2","7","2","2","2","3","3","3","2","3","3","5","1","3","0","3"
"Obiang","0","1","2","3","1","4","1","0","0","1","0","0","0","2","1","0","1","2","1","1","2","1","0","1","0","1","1","3","2"
"Ritchie","2","1","2","2","1","8","2","6","1","8","2","2","4","2","3","5","2","3","2","3","1","0","1","6","2","6","3","10","6"
"Defoe","6","2","8","2","2","2","0","0","1","1","5","1","5","1","0","1","2","0","2","13","17","2","2","2","6","2","2","5","8"
"Gomis","6","6","6","7","2","2","1","2","2","2","2","2","1","1","2","6","2","0","2","1","1","1","0","0","1","1","1","2","1"
"Valencia","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","2","2","5","13","2","13","5","1","2","0","0","0"
"Tioté","1","0","1","0","0","0","0","1","0","0","3","2","1","0","0","0","0","0","2","2","1","0","0","0","3","2","0","0","0"
"Vydra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ideye","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oviedo","1","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","2","3","3","3","2","5","N/A"
"Hazard","2","1","5","2","2","10","5","5","1","2","1","2","3","3","2","1","0","1","2","1","0","0","1","1","1","2","2","5","3"
"Vlaar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dummett","0","0","0","0","0","0","0","0","1","1","8","7","0","0","8","2","1","2","2","2","7","1","0","1","0","0","2","1","0"
"Mayuka","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trippier","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","2","1","0","15","0","0","2","0"
"Tabanou","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Traoré","0","4","0","0","0","1","0","1","1","0","0","0","1","0","1","0","1","1","3","0","0","0","0","0","0","0","0","0","0"
"Baker","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Browning","0","1","0","0","0","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"Ruddy","2","2","2","2","2","5","2","2","-1","3","2","6","4","2","0","0","0","0","0","0","0","0","0","0","0","2","2","1","2"
"Caulker","0","0","7","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","N/A"
"Gosling","1","1","1","0","1","5","8","2","2","2","1","2","8","1","3","3","6","3","2","3","2","10","2","2","2","1","1","1","1"
"Shaw","6","7","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lloris","0","2","2","7","6","7","5","1","8","2","2","3","3","6","3","1","9","7","2","2","2","2","3","6","6","3","3","2","1"
"Kermorgant","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0"
"Naismith","1","1","1","1","17","2","1","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","11","2","2","4","1","0","2"
"Borini","0","0","0","0","1","1","2","2","1","0","0","1","0","0","2","1","5","7","2","1","5","0","5","2","0","1","0","7","2"
"Adam","2","1","1","-2","0","0","3","3","3","1","2","3","3","1","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0"
"Schneiderlin","3","3","3","1","1","2","3","0","9","2","3","0","2","0","1","0","0","0","2","2","2","3","2","0","1","2","2","3","1"
"McAleny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"Ramires","0","2","0","0","0","1","6","0","3","2","8","2","1","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0"
"Jedinak","1","0","1","0","1","0","0","0","0","1","1","0","0","1","2","0","0","1","3","1","1","0","0","1","1","2","1","2","2"
"Tözsér","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tadic","6","1","0","16","3","2","11","2","5","3","6","8","2","1","2","1","2","4","5","2","6","6","3","3","0","0","0","1","5"
"Cech","1","3","11","6","7","2","2","7","6","3","7","3","1","2","3","6","3","0","7","10","2","10","3","8","10","2","1","1","0"
"Horsfield","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0"
"Okazaki","2","6","2","1","1","2","1","2","1","1","1","1","5","1","0","1","11","2","0","1","2","5","2","5","2","2","2","2","1"
"Tuanzebe","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Clichy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","9","1","1","9","0","7","1","7","6"
"Carles Gil","0","0","0","0","8","1","0","1","2","1","1","3","1","2","0","1","0","1","0","6","3","2","3","2","6","2","1","0","0"
"Haugaard","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"King","2","2","1","1","0","1","1","1","0","0","1","1","1","0","1","2","2","2","1","0","1","0","0","1","0","1","1","13","1"
"Lawrence","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lukaku","5","13","2","2","2","2","16","7","1","2","14","8","12","6","8","9","6","2","13","5","2","2","2","1","9","2","5","7","N/A"
"Sturridge","0","0","0","0","0","2","13","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","6","0","0","N/A"
"Naughton","1","6","8","2","2","6","1","0","0","4","1","2","1","2","1","0","1","0","8","0","-4","7","1","1","1","1","0","2","0"
"Can","1","1","2","1","2","2","2","1","3","2","1","2","1","3","0","2","2","2","2","2","5","2","2","2","2","8","3","4","N/A"
"Reed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Onomah","N/A","N/A","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"de Gea","0","0","0","0","2","3","7","1","7","6","9","6","3","2","6","2","1","1","8","3","2","9","2","6","3","0","2","9","2"
"Mbemba","1","1","8","1","1","1","1","-1","1","1","7","6","1","-1","6","5","2","2","2","2","1","2","0","1","0","0","0","0","0"
"Richards","8","2","1","1","4","3","1","2","1","0","0","6","0","7","0","0","0","0","0","1","0","0","5","1","6","-1","0","1","0"
"Dann","2","1","14","2","1","0","9","7","1","2","6","10","1","2","9","6","2","6","6","0","2","0","1","6","9","1","1","3","0"
"Traore","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","6","0","4","9"
"Jarvis","1","0","1","1","8","2","0","1","0","2","1","0","0","0","0","0","0","0","0","0","1","1","1","2","1","0","1","0","0"
"Akpom","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hammond","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gamboa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tremmel","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Smalling","9","7","6","1","2","1","7","1","11","6","5","8","2","2","7","0","1","1","6","1","0","6","2","6","1","1","0","0","2"
"Roberts","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","0","0","0","0","0","0","0"
"Kaboul","-1","1","0","1","2","-2","1","0","2","9","0","2","6","6","1","0","4","0","0","0","0","0","0","0","0","0","0","1","2"
"Maddison","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Unavailable","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Denayer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davis","1","1","3","1","3","1","3","8","1","2","11","3","2","2","2","2","2","3","2","2","6","6","0","0","0","3","1","1","3"
"Weir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","0","0","0","1","0","0"
"Seager","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Zaha","7","2","1","1","2","1","3","5","1","0","3","2","2","6","0","3","5","3","3","2","2","2","5","4","2","2","2","2","2"
"Walcott","1","0","1","3","8","2","7","9","3","0","0","0","0","0","1","6","7","2","3","3","2","3","2","1","1","6","2","1","0"
"Arteta","0","1","0","1","1","0","1","0","1","0","0","1","-1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Howson","2","2","2","2","6","2","2","6","2","1","2","11","2","2","2","1","1","0","11","3","9","2","2","2","1","1","2","1","2"
"Distin","0","0","0","0","0","6","1","2","0","0","1","2","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1"
"Chamberlain","2","1","1","6","1","1","1","1","1","2","0","0","0","1","2","1","1","1","3","3","1","3","1","0","8","2","0","0","0"
"Capoue","2","3","3","2","2","6","2","2","2","3","2","2","2","1","3","3","3","2","2","2","2","2","2","3","1","2","1","2","2"
"Hoolahan","5","10","2","1","13","0","5","2","1","2","0","3","1","2","0","9","3","0","6","3","2","2","10","0","1","8","0","5","2"
"Good","N/A","N/A","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Holgate","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"Agüero","1","6","2","2","1","5","2","25","0","0","0","0","6","2","0","0","2","0","2","9","2","16","12","5","6","2","2","11","2"
"Dawson","1","6","1","6","6","6","7","1","5","6","1","0","2","2","2","7","1","2","8","2","1","1","9","2","2","6","6","1","1"
"O'Brien","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Funes Mori","N/A","N/A","N/A","N/A","1","0","1","2","0","1","1","1","6","7","1","2","0","8","0","3","6","6","1","6","6","2","14","1","N/A"
"Jagielka","1","6","1","8","2","6","1","2","1","0","0","0","0","0","0","0","0","0","0","0","6","1","0","6","7","2","2","1","N/A"
"Monreal","0","2","8","8","6","1","8","6","6","2","6","2","1","2","2","7","2","0","1","7","1","7","2","8","6","2","1","1","0"
"Hesketh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pudil","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cissé","9","1","1","1","2","1","0","0","1","0","0","1","1","7","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"van Persie","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eder","1","0","1","1","1","1","1","0","1","1","1","1","2","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Obertan","5","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Loftus-Cheek","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1"
"Redmond","6","11","7","2","2","2","6","1","7","2","1","0","2","1","1","2","5","2","3","3","1","1","2","0","1","2","2","8","2"
"Richardson","1","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"Wilshere","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fabianski","1","6","2","3","3","6","2","4","2","2","1","3","1","2","1","2","6","7","6","2","3","6","1","3","2","3","8","3","8"
"Lyden","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Rosicky","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angella","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
